#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 315257:6615 | 04/26/18 21:09:40 | 90   | 90   | 0.008301504    | 0.007929497   |
| 315259:6615 | 04/26/18 21:54:51 | 172  | 172  | 0.014285583    | 0.013918864   |
| 315264:6616 | 04/27/18 02:45:32 | 230  | 230  | 0.041423922    | 0.039703388   |
| 315265:6616 | 04/27/18 04:20:05 | 55   | 55   | 0.009321253    | 0.006454507   |
| 315267:6616 | 04/27/18 04:59:11 | 244  | 244  | 0.038218765    | 0.037143311   |
| 315270:6616 | 04/27/18 06:44:15 | 633  | 633  | 0.080764583    | 0.078981117   |
| 315322:6617 | 04/27/18 14:41:34 | 1329 | 1329 | 0.184274144    | 0.180062920   |
| 315339:6618 | 04/28/18 03:06:24 | 618  | 618  | 0.095692137    | 0.093349061   |
| 315357:6620 | 04/28/18 19:32:25 | 776  | 776  | 0.155879642    | 0.151930725   |
| 315361:6621 | 04/29/18 03:17:57 | 580  | 580  | 0.122496652    | 0.118531849   |
| 315363:6621 | 04/29/18 07:08:34 | 86   | 86   | 0.014901515    | 0.014489096   |
| 315366:6621 | 04/29/18 08:43:30 | 736  | 736  | 0.101760562    | 0.100182760   |
| 315420:6624 | 04/29/18 23:54:09 | 1707 | 1707 | 0.264161506    | 0.258566396   |
| 315488:6628 | 04/30/18 19:08:38 | 802  | 802  | 0.195811085    | 0.190563067   |
| 315489:6628 | 05/01/18 02:09:59 | 691  | 691  | 0.105240901    | 0.103438191   |
| 315490:6628 | 05/01/18 06:53:23 | 24   | 24   | 0.002554446    | 0.002520994   |
| 315506:6629 | 05/01/18 10:08:39 | 88   | 88   | 0.029450453    | 0.027983158   |
| 315510:6629 | 05/01/18 11:10:29 | 345  | 345  | 0.106812243    | 0.103172328   |
| 315512:6629 | 05/01/18 13:27:08 | 1122 | 1122 | 0.241304437    | 0.236871400   |
| 315543:6633 | 05/02/18 04:09:49 | 117  | 117  | 0.037860473    | 0.036886267   |
| 315555:6636 | 05/02/18 09:42:48 | 76   | 76   | 0.024343627    | 0.021968881   |
| 315556:6636 | 05/02/18 10:15:53 | 26   | 26   | 0.008976341    | 0.008395188   |
| 315557:6636 | 05/02/18 10:30:09 | 279  | 279  | 0.086272331    | 0.084134393   |
| 315640:6638 | 05/02/18 21:31:41 | 42   | 42   | 0.014924809    | 0.010512485   |
| 315641:6638 | 05/02/18 21:56:12 | 4    | 4    | 0.001524398    | 0.001237309   |
| 315642:6638 | 05/02/18 22:03:16 | 92   | 92   | 0.032714778    | 0.031431097   |
| 315644:6638 | 05/02/18 22:42:00 | 184  | 184  | 0.064786093    | 0.063159684   |
| 315645:6638 | 05/02/18 23:58:43 | 583  | 583  | 0.165007398    | 0.161090551   |
| 315646:6638 | 05/03/18 03:51:56 | 1033 | 1033 | 0.195445383    | 0.191964439   |
| 315647:6638 | 05/03/18 10:38:46 | 58   | 58   | 0.008667528    | 0.008018192   |
| 315648:6638 | 05/03/18 11:04:01 | 110  | 110  | 0.015513726    | 0.015226137   |
| 315689:6639 | 05/03/18 14:58:22 | 1111 | 1111 | 0.339285554    | 0.329958838   |
| 315690:6639 | 05/03/18 22:39:08 | 645  | 645  | 0.121162538    | 0.119001932   |
| 315702:6640 | 05/04/18 08:08:15 | 76   | 76   | 0.024600285    | 0.022853106   |
| 315703:6640 | 05/04/18 08:40:27 | 545  | 545  | 0.163590326    | 0.158162019   |
| 315704:6640 | 05/04/18 12:15:58 | 61   | 61   | 0.015167059    | 0.014739015   |
| 315705:6640 | 05/04/18 12:42:46 | 700  | 700  | 0.135069849    | 0.132814780   |
| 315713:6641 | 05/04/18 19:35:25 | 1061 | 1061 | 0.365751454    | 0.353734703   |
| 315721:6642 | 05/05/18 05:08:14 | 589  | 589  | 0.218515929    | 0.210579169   |
| 315741:6643 | 05/05/18 11:57:43 | 59   | 59   | 0.025217710    | 0.023717251   |
| 315764:6645 | 05/05/18 15:48:29 | 273  | 273  | 0.119105323    | 0.114011154   |
| 315770:6646 | 05/06/18 02:20:23 | 294  | 294  | 0.126216093    | 0.121796189   |
| 315784:6648 | 05/06/18 11:07:00 | 126  | 126  | 0.053714259    | 0.051799834   |
| 315785:6648 | 05/06/18 12:23:07 | 303  | 303  | 0.109412972    | 0.106003338   |
| 315786:6648 | 05/06/18 14:25:10 | 72   | 72   | 0.022718391    | 0.021848143   |
| 315790:6648 | 05/06/18 18:12:51 | 921  | 921  | 0.176879352    | 0.173123579   |
| 315800:6650 | 05/07/18 06:55:20 | 581  | 581  | 0.213135542    | 0.206215401   |
| 315801:6650 | 05/07/18 10:57:12 | 344  | 344  | 0.101138180    | 0.098534603   |
| 315840:6654 | 05/07/18 21:19:16 | 1122 | 1122 | 0.364439422    | 0.354111468   |
| 315973:6659 | 05/08/18 23:33:11 | 855  | 855  | 0.285938999    | 0.278586191   |
| 315974:6659 | 05/09/18 05:17:09 | 71   | 71   | 0.019080182    | 0.018532205   |
| 316058:6662 | 05/09/18 20:47:16 | 364  | 364  | 0.142755731    | 0.137197208   |
| 316059:6662 | 05/09/18 23:10:21 | 566  | 566  | 0.178381890    | 0.170426968   |
| 316060:6662 | 05/10/18 02:53:15 | 935  | 935  | 0.203915094    | 0.198479234   |
| 316061:6662 | 05/10/18 09:00:15 | 36   | 36   | 0.006254605    | 0.006146917   |
| 316062:6662 | 05/10/18 10:24:04 | 4    | 4    | 0.000709713    | 0.000698283   |
| 316082:6663 | 05/10/18 12:45:58 | 371  | 371  | 0.145838771    | 0.141359586   |
| 316110:6666 | 05/10/18 21:22:27 | 210  | 210  | 0.084662551    | 0.081969483   |
| 316111:6666 | 05/10/18 22:46:45 | 48   | 48   | 0.017661731    | 0.015161958   |
| 316113:6666 | 05/10/18 23:16:41 | 64   | 64   | 0.022311647    | 0.020491266   |
| 316114:6666 | 05/10/18 23:42:59 | 1561 | 1561 | 0.377645756    | 0.367994967   |
| 316153:6672 | 05/11/18 17:03:13 | 770  | 770  | 0.263569557    | 0.256240431   |
| 316186:6674 | 05/12/18 03:00:17 | 44   | 44   | 0.017141809    | 0.015153677   |
| 316187:6674 | 05/12/18 03:18:33 | 1970 | 1970 | 0.534587696    | 0.512428751   |
| 316199:6675 | 05/12/18 18:55:11 | 1165 | 1165 | 0.416331454    | 0.401961320   |
| 316200:6675 | 05/13/18 02:29:14 | 10   | 10   | 0.002635834    | 0.002226180   |
| 316201:6675 | 05/13/18 02:36:34 | 498  | 498  | 0.115957736    | 0.110093155   |
| 316202:6675 | 05/13/18 05:53:19 | 403  | 403  | 0.077434166    | 0.075106131   |
| 316216:6677 | 05/13/18 11:57:38 | 442  | 442  | 0.179260722    | 0.171479086   |
| 316217:6677 | 05/13/18 15:05:03 | 264  | 264  | 0.091441855    | 0.088158861   |
| 316218:6677 | 05/13/18 16:52:47 | 1008 | 1008 | 0.250380950    | 0.243232708   |
| 316219:6677 | 05/13/18 23:33:19 | 283  | 283  | 0.050387980    | 0.048978441   |
| 316239:6681 | 05/14/18 05:52:32 | 589  | 589  | 0.217721889    | 0.209319054   |
| 316240:6681 | 05/14/18 09:45:29 | 1224 | 1224 | 0.293553226    | 0.283682524   |
| 316241:6681 | 05/14/18 17:44:39 | 325  | 325  | 0.055296179    | 0.053194396   |
| 316271:6683 | 05/15/18 00:23:54 | 86   | 86   | 0.032067180    | 0.029698080   |
| 316361:6688 | 05/15/18 17:14:35 | 189  | 189  | 0.028479204    | 0.026413888   |
| 316362:6688 | 05/15/18 18:35:04 | 425  | 425  | 0.055678975    | 0.053916088   |
| 316363:6688 | 05/15/18 21:30:58 | 48   | 48   | 0.004948662    | 0.004611485   |
| 316377:6690 | 05/16/18 01:56:02 | 21   | 21   | 0.003238999    | 0.001986070   |
| 316378:6690 | 05/16/18 02:06:22 | 29   | 29   | 0.006210418    | 0.003336673   |
| 316379:6690 | 05/16/18 02:20:12 | 70   | 70   | 0.014591107    | 0.008222157   |
| 316380:6690 | 05/16/18 02:51:00 | 1208 | 1208 | 0.179336474    | 0.175280166   |
| 316455:6693 | 05/16/18 19:16:25 | 36   | 36   | 0.009914375    | 0.009607083   |
| 316457:6693 | 05/16/18 19:38:28 | 1454 | 1454 | 0.335723751    | 0.326273293   |
| 316469:6694 | 05/17/18 07:48:25 | 428  | 428  | 0.154005380    | 0.148877856   |
| 316470:6694 | 05/17/18 11:54:09 | 476  | 476  | 0.121011471    | 0.116869505   |
| 316472:6694 | 05/17/18 15:00:34 | 328  | 328  | 0.068118293    | 0.066237151   |
| 316505:6696 | 05/18/18 00:24:11 | 1319 | 1319 | 0.414502581    | 0.401220030   |
| 316569:6700 | 05/19/18 02:15:13 | 1888 | 1888 | 0.499434423    | 0.485569309   |
| 316590:6702 | 05/19/18 20:55:25 | 510  | 510  | 0.195346939    | 0.189247294   |
| 316613:6706 | 05/20/18 07:52:22 | 193  | 193  | 0.032123857    | 0.031466211   |
| 316615:6706 | 05/20/18 09:12:45 | 338  | 338  | 0.050039803    | 0.049127397   |
| 316666:6709 | 05/20/18 21:51:33 | 981  | 981  | 0.290501772    | 0.279381290   |
| 316667:6709 | 05/21/18 04:15:41 | 197  | 197  | 0.043606324    | 0.042140099   |
| 316700:6710 | 05/21/18 11:45:22 | 311  | 311  | 0.121734638    | 0.114304211   |
| 316701:6710 | 05/21/18 14:12:33 | 479  | 479  | 0.150661379    | 0.143933326   |
| 316702:6710 | 05/21/18 17:21:19 | 388  | 388  | 0.098397047    | 0.095461886   |
| 316715:6711 | 05/22/18 01:10:33 | 13   | 13   | 0.003351253    | 0.003000536   |
| 316716:6711 | 05/22/18 01:30:21 | 181  | 181  | 0.069727677    | 0.061792771   |
| 316717:6711 | 05/22/18 02:44:00 | 192  | 192  | 0.066618266    | 0.063385896   |
| 316718:6711 | 05/22/18 04:00:35 | 311  | 311  | 0.093701986    | 0.090222571   |
| 316719:6711 | 05/22/18 06:17:36 | 136  | 136  | 0.035381806    | 0.032449482   |
| 316720:6711 | 05/22/18 07:16:06 | 182  | 182  | 0.043150675    | 0.041732114   |
| 316721:6711 | 05/22/18 08:29:42 | 15   | 15   | 0.003344665    | 0.003260078   |
| 316722:6711 | 05/22/18 08:45:58 | 751  | 751  | 0.139833719    | 0.134760529   |
| 316723:6711 | 05/22/18 13:38:48 | 64   | 64   | 0.009830576    | 0.009621132   |
| 316758:6712 | 05/22/18 16:43:00 | 1599 | 1599 | 0.472002595    | 0.455682721   |
| 316766:6714 | 05/23/18 05:50:20 | 2148 | 2148 | 0.578885603    | 0.561052774   |
| 316876:6719 | 05/24/18 23:17:15 | 610  | 610  | 0.236503579    | 0.216379022   |
| 316877:6719 | 05/25/18 03:18:15 | 395  | 395  | 0.115167832    | 0.111051479   |
| 316879:6719 | 05/25/18 06:01:35 | 156  | 156  | 0.038537500    | 0.036513199   |
| 316928:6724 | 05/25/18 17:30:22 | 149  | 149  | 0.045713438    | 0.044417240   |
| 316985:6731 | 05/27/18 20:04:08 | 471  | 471  | 0.178089815    | 0.172546110   |
| 316993:6733 | 05/28/18 03:32:50 | 211  | 211  | 0.079701346    | 0.074473713   |
| 316994:6733 | 05/28/18 04:58:46 | 14   | 14   | 0.005071474    | 0.004777100   |
| 316995:6733 | 05/28/18 05:06:29 | 623  | 623  | 0.191895663    | 0.186194514   |
| 317080:6737 | 05/28/18 20:40:32 | 26   | 26   | 0.008321786    | 0.007844260   |
| 317087:6738 | 05/28/18 23:14:11 | 741  | 741  | 0.252944673    | 0.243200389   |
| 317089:6738 | 05/29/18 04:46:51 | 1003 | 1003 | 0.221327453    | 0.212904926   |
| 317182:6741 | 05/30/18 09:15:46 | 1377 | 1377 | 0.421884343    | 0.406207245   |
| 317212:6744 | 05/31/18 02:42:17 | 140  | 140  | 0.054310040    | 0.051172376   |
| 317213:6744 | 05/31/18 03:40:05 | 375  | 375  | 0.130330487    | 0.125489076   |
| 317279:6747 | 05/31/18 17:11:10 | 466  | 466  | 0.068311783    | 0.065891594   |
| 317291:6749 | 06/01/18 02:53:28 | 791  | 791  | 0.283387869    | 0.274028870   |
| 317292:6749 | 06/01/18 08:08:05 | 330  | 330  | 0.087646871    | 0.085006647   |
| 317297:6749 | 06/01/18 11:34:35 | 697  | 697  | 0.127414434    | 0.123798905   |
| 317319:6751 | 06/01/18 19:42:33 | 139  | 139  | 0.056781549    | 0.053514561   |
| 317320:6751 | 06/01/18 20:37:54 | 1820 | 1820 | 0.477050150    | 0.460767275   |
| 317338:6752 | 06/02/18 10:48:26 | 42   | 42   | 0.015939426    | 0.013631072   |
| 317339:6752 | 06/02/18 11:06:14 | 163  | 163  | 0.068357516    | 0.065749760   |
| 317340:6752 | 06/02/18 12:17:48 | 418  | 418  | 0.147844107    | 0.140596348   |
| 317382:6755 | 06/03/18 16:34:21 | 71   | 71   | 0.027788964    | 0.024139434   |
| 317383:6755 | 06/03/18 17:05:19 | 58   | 58   | 0.023899464    | 0.022451239   |
| 317391:6757 | 06/04/18 03:21:59 | 8    | 8    | 0.003496514    | 0.002717287   |
| 317392:6757 | 06/04/18 03:27:44 | 1898 | 1898 | 0.505356146    | 0.490656629   |
| 317435:6759 | 06/05/18 00:15:36 | 1397 | 1397 | 0.374444906    | 0.360612921   |
| 317438:6759 | 06/05/18 09:20:20 | 307  | 307  | 0.051746867    | 0.049709578   |
| 317475:6761 | 06/05/18 18:13:47 | 68   | 68   | 0.027077537    | 0.025761150   |
| 317478:6761 | 06/05/18 18:47:21 | 23   | 23   | 0.008476414    | 0.007937242   |
| 317484:6761 | 06/05/18 19:51:18 | 523  | 523  | 0.165745170    | 0.160355997   |
| 317488:6761 | 06/05/18 23:26:30 | 844  | 844  | 0.186916038    | 0.181128073   |
| 317527:6763 | 06/06/18 22:52:12 | 1447 | 1447 | 0.466677521    | 0.452099029   |
| 317591:6768 | 06/08/18 07:07:54 | 292  | 292  | 0.115251802    | 0.111116517   |
| 317626:6770 | 06/08/18 20:45:30 | 2006 | 2006 | 0.546495591    | 0.528939540   |
| 317640:6772 | 06/09/18 13:47:48 | 801  | 801  | 0.271611233    | 0.261179265   |
| 317641:6772 | 06/09/18 19:02:09 | 1390 | 1390 | 0.276436218    | 0.268315019   |
| 317648:6773 | 06/10/18 06:27:56 | 95   | 95   | 0.037465896    | 0.033881916   |
| 317649:6773 | 06/10/18 07:08:12 | 621  | 621  | 0.200450209    | 0.193211576   |
| 317650:6773 | 06/10/18 11:10:27 | 1304 | 1304 | 0.264311478    | 0.255996426   |
| 317661:6774 | 06/10/18 21:56:59 | 1222 | 1222 | 0.387535047    | 0.375651112   |
| 317663:6774 | 06/11/18 06:27:15 | 858  | 858  | 0.157242875    | 0.153301355   |
| 317683:6776 | 06/11/18 16:18:33 | 320  | 320  | 0.122368155    | 0.117851782   |
| 317696:6778 | 06/12/18 00:00:42 | 645  | 645  | 0.237876176    | 0.228786857   |
| 318733:6850 | 06/26/18 22:28:18 | 33   | 33   | 0.002986044    | 0.002792197   |
| 318828:6858 | 06/28/18 06:30:24 | 70   | 70   | 0.013680177    | 0.013229261   |
| 318872:6860 | 06/28/18 15:50:31 | 272  | 272  | 0.095225963    | 0.091854514   |
| 318874:6860 | 06/28/18 17:39:38 | 320  | 320  | 0.104220627    | 0.099565217   |
| 318876:6860 | 06/28/18 19:45:23 | 161  | 161  | 0.049033569    | 0.046587025   |
| 318877:6860 | 06/28/18 20:49:22 | 615  | 615  | 0.165061387    | 0.160548836   |
| 319077:6874 | 07/01/18 23:27:46 | 41   | 41   | 0.016847099    | 0.016371875   |
| 319337:6901 | 07/08/18 02:05:51 | 2193 | 2193 | 0.237348102    | 0.232388818   |
| 319347:6904 | 07/08/18 19:53:18 | 651  | 651  | 0.229076515    | 0.210856031   |
| 319348:6904 | 07/09/18 00:07:18 | 37   | 37   | 0.010960648    | 0.005006475   |
| 319349:6904 | 07/09/18 00:23:34 | 148  | 148  | 0.041965227    | 0.040843828   |
| 319449:6909 | 07/09/18 20:59:32 | 698  | 698  | 0.259586491    | 0.249173726   |
| 319450:6909 | 07/10/18 01:32:44 | 681  | 681  | 0.212504803    | 0.207045612   |
| 319456:6909 | 07/10/18 07:08:40 | 209  | 209  | 0.054018897    | 0.052015625   |
| 319459:6909 | 07/10/18 08:32:35 | 78   | 78   | 0.017641441    | 0.017212101   |
| 319486:6911 | 07/11/18 09:10:21 | 66   | 66   | 0.021061388    | 0.020314797   |
| 319503:6911 | 07/11/18 17:30:46 | 317  | 317  | 0.094813078    | 0.090959188   |
| 319524:6912 | 07/11/18 22:27:29 | 1424 | 1424 | 0.470771755    | 0.456701499   |
| 319526:6912 | 07/12/18 08:14:19 | 282  | 282  | 0.071759686    | 0.069659575   |
| 319528:6912 | 07/12/18 10:11:01 | 259  | 259  | 0.061020556    | 0.059622995   |
| 319579:6919 | 07/13/18 04:43:17 | 3128 | 3128 | 0.842700420    | 0.818490479   |
| 319625:6921 | 07/14/18 14:05:51 | 190  | 190  | 0.072958182    | 0.070596043   |
| 319639:6923 | 07/14/18 18:52:13 | 1479 | 1479 | 0.423548196    | 0.409340341   |
| 319656:6924 | 07/15/18 07:24:28 | 260  | 260  | 0.092846623    | 0.088039580   |
| 319657:6924 | 07/15/18 09:09:07 | 167  | 167  | 0.053752827    | 0.051824096   |
| 319658:6924 | 07/15/18 10:16:04 | 225  | 225  | 0.064834671    | 0.062629780   |
| 319659:6924 | 07/15/18 11:50:26 | 87   | 87   | 0.022608350    | 0.021787667   |
| 319678:6925 | 07/15/18 15:20:13 | 259  | 259  | 0.099052349    | 0.095424824   |
| 319687:6927 | 07/15/18 22:28:04 | 45   | 45   | 0.016486816    | 0.016052913   |
| 319697:6929 | 07/16/18 02:17:40 | 437  | 437  | 0.062852753    | 0.060561287   |
| 319698:6929 | 07/16/18 05:13:10 | 312  | 312  | 0.037203705    | 0.036295265   |
| 319756:6931 | 07/16/18 15:39:04 | 1923 | 1923 | 0.507084360    | 0.490204543   |
| 319840:6939 | 07/17/18 22:27:53 | 348  | 348  | 0.051262088    | 0.049718970   |
| 319841:6939 | 07/18/18 00:44:33 | 167  | 167  | 0.020840269    | 0.020280330   |
| 319847:6940 | 07/18/18 04:02:30 | 3    | 3    | 0.001330127    | 0.000903537   |
| 319848:6940 | 07/18/18 04:04:45 | 53   | 53   | 0.019928545    | 0.019081513   |
| 319849:6940 | 07/18/18 04:28:02 | 492  | 492  | 0.180217181    | 0.173552091   |
| 319851:6940 | 07/18/18 07:46:30 | 4    | 4    | 0.001250205    | 0.001137038   |
| 319853:6940 | 07/18/18 08:01:32 | 256  | 256  | 0.073307576    | 0.071203488   |
| 319854:6940 | 07/18/18 09:44:34 | 225  | 225  | 0.055235129    | 0.053716327   |
| 319908:6942 | 07/19/18 02:40:13 | 51   | 51   | 0.019578670    | 0.018295828   |
| 319909:6942 | 07/19/18 03:03:13 | 7    | 7    | 0.002745400    | 0.001120242   |
| 319910:6942 | 07/19/18 03:09:20 | 983  | 983  | 0.315473757    | 0.304865167   |
| 319912:6942 | 07/19/18 09:34:18 | 59   | 59   | 0.014171175    | 0.013437223   |
| 319913:6942 | 07/19/18 09:59:24 | 56   | 56   | 0.013018604    | 0.012566235   |
| 319914:6942 | 07/19/18 10:22:49 | 32   | 32   | 0.007252517    | 0.006879860   |
| 319915:6942 | 07/19/18 10:37:23 | 416  | 416  | 0.088940054    | 0.086802323   |
| 319941:6944 | 07/19/18 19:59:35 | 256  | 256  | 0.099020301    | 0.094417188   |
| 319942:6944 | 07/19/18 21:41:30 | 50   | 50   | 0.017942823    | 0.017468906   |
| 319950:6946 | 07/20/18 02:45:30 | 168  | 168  | 0.067839945    | 0.065935971   |
| 319991:6953 | 07/20/18 15:48:51 | 837  | 837  | 0.292529663    | 0.282111415   |
| 319992:6953 | 07/20/18 21:15:39 | 264  | 264  | 0.068314275    | 0.065586502   |
| 319993:6953 | 07/20/18 23:01:06 | 955  | 955  | 0.187746874    | 0.182675815   |
| 320002:6956 | 07/21/18 08:17:32 | 141  | 141  | 0.052523216    | 0.050203468   |
| 320006:6956 | 07/21/18 09:46:32 | 340  | 340  | 0.117879419    | 0.114140140   |
| 320010:6956 | 07/21/18 14:27:42 | 330  | 330  | 0.076664085    | 0.074676692   |
| 320011:6956 | 07/21/18 16:38:02 | 302  | 302  | 0.063113218    | 0.061138036   |
| 320012:6956 | 07/21/18 18:38:20 | 99   | 99   | 0.018711964    | 0.018060690   |
| 320023:6957 | 07/21/18 21:33:03 | 276  | 276  | 0.103950025    | 0.098834607   |
| 320024:6957 | 07/21/18 23:21:36 | 410  | 410  | 0.130440803    | 0.126440979   |
| 320025:6957 | 07/22/18 02:03:20 | 113  | 113  | 0.031215788    | 0.030113234   |
| 320026:6957 | 07/22/18 02:49:54 | 204  | 204  | 0.051564606    | 0.050085703   |
| 320038:6960 | 07/22/18 07:09:04 | 621  | 621  | 0.227408676    | 0.218712390   |
| 320039:6960 | 07/22/18 11:13:45 | 30   | 30   | 0.009142264    | 0.008200272   |
| 320040:6960 | 07/22/18 11:29:06 | 737  | 737  | 0.183359086    | 0.177428533   |
| 320059:6961 | 07/22/18 18:43:23 | 105  | 105  | 0.043615700    | 0.040908654   |
| 320060:6961 | 07/22/18 19:27:05 | 42   | 42   | 0.016524473    | 0.015725006   |
| 320061:6961 | 07/22/18 19:46:28 | 49   | 49   | 0.019093724    | 0.018270053   |
| 320062:6961 | 07/22/18 20:06:50 | 21   | 21   | 0.008000755    | 0.006956471   |
| 320063:6961 | 07/22/18 20:17:40 | 64   | 64   | 0.023691153    | 0.022166104   |
| 320064:6961 | 07/22/18 20:48:07 | 200  | 200  | 0.068380638    | 0.064866603   |
| 320065:6961 | 07/22/18 22:09:30 | 920  | 920  | 0.234981096    | 0.227086186   |
| 320673:7005 | 08/01/18 02:33:01 | 867  | 867  | 0.065886258    | 0.064592146   |
| 320674:7005 | 08/01/18 08:11:46 | 599  | 599  | 0.034307292    | 0.033749177   |
| 320688:7006 | 08/01/18 15:24:06 | 483  | 483  | 0.135321679    | 0.130855199   |
| 320712:7008 | 08/02/18 02:45:01 | 204  | 204  | 0.071961247    | 0.069579800   |
| 320757:7013 | 08/02/18 14:37:56 | 332  | 332  | 0.120886198    | 0.116683595   |
| 320804:7017 | 08/03/18 07:27:51 | 1229 | 1229 | 0.330955853    | 0.319033307   |
| 320807:7017 | 08/03/18 15:28:46 | 7    | 7    | 0.001319980    | 0.000348408   |
| 320809:7017 | 08/03/18 15:43:13 | 716  | 716  | 0.109016947    | 0.106230704   |
| 320821:7018 | 08/03/18 23:57:32 | 181  | 181  | 0.062971560    | 0.060432928   |
| 320822:7018 | 08/04/18 01:09:16 | 523  | 523  | 0.155022448    | 0.149814403   |
| 320823:7018 | 08/04/18 04:34:31 | 360  | 360  | 0.082833311    | 0.080025310   |
| 320824:7018 | 08/04/18 06:55:49 | 1051 | 1051 | 0.168366394    | 0.164020053   |
| 320838:7020 | 08/04/18 17:31:12 | 265  | 265  | 0.096928421    | 0.092366066   |
| 320840:7020 | 08/04/18 19:20:14 | 471  | 471  | 0.146842730    | 0.141043050   |
